ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"167.71.184.82","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","37908","socks4","5092","1","2023-09-30T02:03:21.450Z","100","4040","4047"
"109.73.189.36","elite","AS49924","IT","ECROM-MAIN","39","N/A","5678","socks4","3996","82","2023-09-30T02:03:21.446Z","82","3409","4151"
"209.141.33.219","elite","AS53667","US","FranTech Solutions","191","FranTech Solutions","9092","socks5","4089","1","2023-09-30T02:03:21.448Z","100","4059","4069"
"197.234.13.62","elite","AS36902","SC","Intelvision","181","Intelvision Ltd","4145","socks4","4798","1","2023-09-30T02:03:21.438Z","100","4157","4167"
"87.121.18.154","elite","AS34569","BG","Networx-Bulgaria Ltd.","46","Networx ltd.","5678","socks4","5009","1","2023-09-30T02:03:17.545Z","67","2698","4056"
"5.189.146.59","elite","AS51167","DE","Contabo GmbH","84","Contabo GmbH","55808","socks5","2296","1","2023-09-30T02:03:17.540Z","99","4038","4097"
"110.78.147.107","elite","AS131090","TH","CAT-BB","287","N/A","4145","socks4","5106","1","2023-09-30T02:03:17.547Z","74","3037","4111"
"177.125.206.157","elite","AS262346","BR","FP Telecomunicacoes Ltda","205","FP Telecomunicacoes Ltda","4145","socks4","4792","1","2023-09-30T02:03:17.541Z","80","3195","3975"
"47.254.241.21","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","156","Alibaba.com LLC","21491","socks4","4893","1","2023-09-30T02:03:17.548Z","93","3735","4023"
"213.135.234.101","elite","AS6661","LU","POST Luxembourg","39","EPT","4153","socks4","5205","1","2023-09-30T02:03:15.680Z","100","4032","4045"
"54.36.183.52","elite","AS16276","FR","OVH SAS","6","OVH","9173","socks5","4906","1","2023-09-30T02:03:14.243Z","88","3497","3975"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","199","Telekomunikasi Indonesia","1080","socks4","4697","1","2023-09-30T02:03:14.145Z","98","4084","4166"
"104.19.109.209","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1699","1","2023-09-30T02:03:14.147Z","100","4006","4006"
"5.9.173.18","elite","AS24940","DE","Hetzner Online GmbH","97","N/A","30000","socks4","5097","1","2023-09-30T02:03:14.244Z","98","3959","4058"
"179.107.61.23","elite","AS262346","BR","FP Telecomunicacoes Ltda","206","FP Telecomunicacoes Ltda","4145","socks4","4493","1","2023-09-30T02:03:10.442Z","80","3220","4004"
"130.185.213.146","elite","AS48917","BG","Optinet Ltd","47","Optinet Ltd","5678","socks4","2297","1","2023-09-30T02:03:10.440Z","99","4059","4094"
"176.57.189.116","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","10898","socks4","4400","1","2023-09-30T02:03:10.437Z","100","4067","4068"
"91.90.16.211","elite","AS13307","UA","SKIF","54","SKIF ISP Ltd.","1080","socks4","1159","1","2023-09-30T02:03:10.432Z","96","3932","4115"
"177.91.76.34","elite","AS263432","BR","Corporativa Telecomunicacoes Eireli ME","195","Corporativa Telecomunicacoes Eireli ME","4153","socks4","4595","1","2023-09-30T02:03:10.438Z","92","3779","4130"
"218.1.200.180","elite","AS4812","CN","China Telecom","305","N/A","57114","socks5","6114","1","2023-09-30T02:03:06.545Z","45","1832","4094"
"96.70.52.227","elite","AS33491","US","Comcast Cable Communications, LLC","184","Comcast Cable Communications, LLC","48324","socks4","5095","1","2023-09-30T02:03:06.547Z","100","4111","4114"
"110.78.149.186","elite","AS131090","TH","CAT-BB","300","N/A","4145","socks4","5201","1","2023-09-30T02:03:06.545Z","72","2930","4053"
"179.107.61.81","elite","AS262346","BR","FP Telecomunicacoes Ltda","203","FP Telecomunicacoes Ltda","4145","socks4","4710","1","2023-09-30T02:03:06.546Z","77","3219","4159"
"37.75.112.35","elite","AS8926","MD","JSC \"Moldtelecom\" S.A.","94","JSC Moldtelecom S.A.","4153","socks4","4405","2","2023-09-30T02:03:06.638Z","98","4072","4146"
"38.127.179.16","elite","AS174","US","Cogent Communications","97","Torlandia Trading SRL","55994","socks5","2393","1","2023-09-30T02:03:06.639Z","100","3988","3994"
"185.67.100.105","elite","AS34636","IR","Laser Company Ltd","112","Laser IDC","4153","socks4","4899","1","2023-09-30T02:03:02.643Z","100","4085","4104"
"213.136.82.183","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","43052","socks5","5293","1","2023-09-30T02:03:02.644Z","88","3637","4119"
"115.127.121.194","elite","AS24342","BD","BRACNet Limited","177","BRACNet Limited","5678","socks4","604","1","2023-09-30T02:03:02.644Z","99","4079","4124"
"1.10.238.254","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","2092","2","2023-09-30T02:03:02.638Z","57","2304","4047"
"46.105.108.208","elite","AS16276","FR","OVH SAS","5","OVH ISP","28477","socks5","4408","1","2023-09-30T02:03:00.490Z","100","4152","4152"
"121.141.50.246","elite","AS4766","KR","Korea Telecom","298","Kornet","5678","socks4","930","1","2023-09-30T02:03:00.476Z","29","1182","4084"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","12","DigitalOcean, LLC","29321","socks5","5095","1","2023-09-30T02:03:00.489Z","99","4107","4143"
"110.78.146.11","elite","AS131090","TH","CAT-BB","291","N/A","4145","socks4","150","1","2023-09-30T02:03:00.390Z","85","3521","4162"
"103.212.95.253","elite","AS138312","IN","Best Telnet Services Private Limited","180","Best telnet services private limited","41363","socks4","4896","1","2023-09-30T02:03:00.477Z","99","4107","4128"
"185.25.119.98","elite","AS200000","UA","Hosting Ukraine LTD","46","new Hosting","43725","socks5","5001","3","2023-09-30T02:03:00.489Z","100","3977","3979"
"186.251.255.65","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","213","Seanet Telecom Carazinho Eireli","31337","socks4","498","1","2023-09-30T02:03:00.476Z","100","4108","4125"
"117.102.224.38","elite","AS23756","ID","PT Padi Internet","297","N/A","1080","socks4","4605","1","2023-09-30T02:03:00.474Z","100","4135","4142"
"202.137.141.183","elite","AS9873","LA","Lao Telecommunication Co Ltd","297","Laotelecom","5678","socks4","5095","1","2023-09-30T02:03:00.475Z","96","3953","4097"
"175.6.140.135","elite","AS63835","CN","No.293, Wanbao Avenue","299","Chinanet HN","38801","socks5","5013","1","2023-09-30T02:02:58.335Z","82","3404","4137"
"158.58.133.38","elite","AS47586","RU","Dmitriy V. Kozmenko","78","Business-Svyaz TM","5678","socks4","1402","1","2023-09-30T02:02:58.350Z","97","4045","4153"
"183.89.41.115","elite","AS45629","TH","Triple T Broadband Public Company Limited","175","Triple T Broadband Public Company Limited","5678","socks4","4294","1","2023-09-30T02:02:58.334Z","98","3965","4063"
"80.78.23.20","elite","AS39287","SE","ab stract","99","ab stract","80","socks4","5100","1","2023-09-30T02:02:54.034Z","92","3813","4159"
"185.126.40.232","elite","AS49100","IR","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","192","User","4153","socks4","5013","1","2023-09-30T02:02:53.839Z","95","3939","4151"
"103.102.219.25","elite","AS137038","BD","Zubair IT Expert","200","zubairitexpert","44550","socks4","4517","1","2023-09-30T02:02:53.833Z","100","4132","4148"
"202.159.35.189","elite","AS9340","ID","PT IndoInternet","203","N/A","443","socks4","4802","1","2023-09-30T02:02:53.837Z","100","4069","4079"
"209.250.248.127","elite","AS20473","NL","The Constant Company, LLC","11","Vultr Holdings LLC Amsterdam","45534","socks5","4806","1","2023-09-30T02:02:53.836Z","14","589","4099"
"221.167.75.138","elite","AS4766","KR","Korea Telecom","289","Kornet","5156","socks4","3187","1","2023-09-30T02:02:50.250Z","100","3947","3954"
"102.69.146.181","elite","AS328451","NG","IP Express Ltd","185","N/A","5678","socks4","5008","2","2023-09-30T02:02:50.342Z","86","3486","4076"
"93.40.5.232","elite","AS12874","IT","Fastweb SpA","35","FASTWEB VULA Statico","5678","socks4","5099","1","2023-09-30T02:02:46.735Z","100","4030","4048"
"70.32.25.147","elite","AS55293","US","A2 Hosting, Inc.","90","A2 Hosting, Inc.","36546","socks4","4416","1","2023-09-30T02:02:46.732Z","100","4025","4030"
"202.183.24.38","elite","AS131736","ID","BIGNET","990","N/A","5678","socks4","236","1","2023-09-30T02:02:46.736Z","64","2607","4098"
"203.76.121.237","elite","AS23688","BD","Link3 Technologies Limited","197","Corporate Subscriber","4145","socks4","2807","1","2023-09-30T02:02:46.734Z","97","3999","4117"
"163.172.84.25","elite","AS12876","FR","Online S.A.S.","1","ONLINE","9741","socks4","4793","1","2023-09-30T02:02:46.736Z","96","3979","4140"
"118.173.197.241","elite","AS23969","TH","TOT Public Company Limited","188","TOT Public Company Limited","4145","socks4","5009","1","2023-09-30T02:02:45.583Z","99","4086","4120"
"45.7.210.193","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","241","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","4601","1","2023-09-30T02:02:44.375Z","99","4063","4088"
"88.248.2.160","elite","AS47331","TR","TurkTelecom","66","Turk Telekomunikasyon A.S","5678","socks4","5097","1","2023-09-30T02:02:44.376Z","91","3768","4147"
"103.242.104.243","elite","AS58821","ID","PT Lintas Jaringan Nusantara","193","PT Lintas Jaringan Nusantara","5678","socks4","5091","3","2023-09-30T02:02:44.377Z","99","4082","4132"
"69.163.160.228","elite","AS26347","US","New Dream Network, LLC","152","New Dream Network, LLC","23787","socks5","3493","1","2023-09-30T02:02:44.290Z","100","4029","4031"
"27.123.1.35","elite","AS45706","ID","PT Tele Globe Global","194","N/A","4153","socks4","4606","1","2023-09-30T02:02:44.374Z","100","4024","4036"
"158.140.173.212","elite","AS63859","ID","MYREPUBLIC","198","N/A","44550","socks4","2807","1","2023-09-30T02:02:42.943Z","98","3994","4084"
"45.125.222.97","elite","AS63526","BD","Carnival Internet","196","N/A","47239","socks4","599","1","2023-09-30T02:02:42.941Z","100","4009","4028"
"222.124.130.195","elite","AS7713","ID","Telekomunikasi Indonesia","200","PT. TELKOM INDONESIA","4145","socks4","2406","1","2023-09-30T02:02:42.942Z","89","3636","4091"
"187.122.105.181","elite","AS28573","BR","Claro NXT Telecomunicacoes Ltda","289","Claro NXT Telecomunicacoes Ltda","4153","socks4","1609","1","2023-09-30T02:02:42.945Z","97","4052","4173"
"103.82.11.233","elite","AS136156","BD","FNF Online","193","N/A","4153","socks4","1301","1","2023-09-30T02:02:42.940Z","99","4093","4135"
"103.211.8.189","elite","AS135691","IN","Cloudlasers Broadband","189","N/A","44581","socks4","5092","1","2023-09-30T02:02:39.148Z","100","4133","4140"
"185.22.31.227","elite","AS50810","IR","Mobin Net Communication Company (Private Joint Stock)","112","Mobin Net Communication Company (Private Joint Stock)","4153","socks4","1211","1","2023-09-30T02:02:39.148Z","98","4098","4165"
"177.38.5.51","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","204","FÁBIO MENDES DIAS LTDA ME","4153","socks4","5089","1","2023-09-30T02:02:39.141Z","91","3789","4162"
"80.80.152.123","elite","AS12829","BG","Angel Soft OOD","83","N/A","5678","socks4","4800","1","2023-09-30T02:02:39.144Z","99","4149","4182"
"45.81.225.94","elite","AS204601","NL","Zomro B.V.","100","On-line Data LTD","30001","socks5","4996","1","2023-09-30T02:02:39.241Z","5","192","4072"
"110.78.152.196","elite","AS131090","TH","CAT-BB","294","N/A","5678","socks4","1591","1","2023-09-30T02:02:39.140Z","72","2951","4112"
"36.89.253.7","elite","AS7713","ID","PT. Telekomunikasi Indonesia","223","Telekomunikasi Indonesia","5678","socks4","5200","1","2023-09-30T02:02:39.142Z","87","3496","4020"
"38.127.179.34","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","5094","1","2023-09-30T02:02:35.948Z","100","4056","4065"
"68.183.44.44","elite","AS14061","GB","DigitalOcean, LLC","17","DigitalOcean, LLC","80","socks4","5086","1","2023-09-30T02:02:35.851Z","100","4046","4047"
"212.154.251.210","elite","AS50482","KZ","JSC Kazakhtelecom","196","Limited liability company","5678","socks4","4894","1","2023-09-30T02:02:32.340Z","99","4058","4111"
"175.101.18.21","elite","AS17754","IN","ExcellMedia Pvt Ltd","183","Excell Media Pvt Ltd","5678","socks4","5497","1","2023-09-30T02:02:32.346Z","100","4153","4172"
"187.210.68.101","elite","AS8151","MX","Uninet S.A. de C.V.","187","UNINET","7497","socks5","4701","1","2023-09-30T02:02:32.342Z","94","3767","3999"
"89.237.33.225","elite","AS20485","RU","multi-origin SUTTK","67","N/A","51549","socks4","985","1","2023-09-30T02:02:32.435Z","99","4043","4093"
"221.225.152.167","elite","AS4134","CN","CHINANET jiangsu province network","291","N/A","24166","socks5","4792","1","2023-09-30T02:02:32.341Z","54","2219","4102"
"175.100.72.95","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","186","Viettel (cambodia) Pte., Ltd.","55360","socks4","4898","1","2023-09-30T02:02:32.433Z","96","3844","3990"
"114.254.92.176","elite","AS4808","CN","China Unicom Beijing Province Network","192","N/A","1080","socks5","5384","1","2023-09-30T02:02:32.344Z","30","1220","4081"
"125.25.43.217","elite","AS23969","TH","TOT Public Company Limited","194","TOT Public Company Limited","4145","socks4","5005","1","2023-09-30T02:02:29.476Z","55","2277","4144"
"110.87.13.5","elite","AS4134","CN","Chinanet","218","Chinanet FJ","23456","socks5","2112","6","2023-09-30T02:02:29.477Z","66","2732","4170"
"162.12.217.4","elite","AS204902","FR","Weelax","118","XIWO","3629","socks4","4800","1","2023-09-30T02:02:29.478Z","98","4074","4142"
"83.220.176.230","elite","AS34456","RU","Rial Com JSC","99","JSC clients network","4145","socks4","5084","1","2023-09-30T02:02:29.477Z","36","1482","4148"
"43.154.173.221","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","240","Tencent Cloud Computing","1080","socks4","5000","1","2023-09-30T02:02:28.841Z","97","4064","4185"
"38.127.173.193","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","11537","socks4","4904","1","2023-09-30T02:02:28.937Z","100","4046","4051"
"103.239.200.226","elite","AS17970","PH","Sky Cable Corporation","237","TRI PH","1337","socks4","5000","1","2023-09-30T02:02:28.844Z","98","4035","4136"
"201.251.155.249","elite","AS22927","AR","Telefonica de Argentina","297","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","5006","1","2023-09-30T02:02:24.245Z","99","3994","4038"
"202.61.251.201","elite","AS197540","DE","netcup GmbH","97","netcup GmbH","9097","socks4","1498","1","2023-09-30T02:02:24.348Z","98","4100","4179"
"177.12.178.37","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","200","Linkli Telecomunicacoes Ltda","4153","socks4","4904","1","2023-09-30T02:02:24.248Z","100","4144","4162"
"89.237.32.66","elite","AS20485","RU","multi-origin SUTTK","74","N/A","51549","socks4","2307","1","2023-09-30T02:02:24.244Z","99","4107","4157"
"172.85.108.70","elite","AS11325","US","Host Wagon LLC","79","N/A","23213","socks5","4996","1","2023-09-30T02:02:24.336Z","100","4008","4013"
"68.183.88.14","elite","AS14061","IN","DigitalOcean, LLC","193","DigitalOcean, LLC","7497","socks5","387","1","2023-09-30T02:02:20.947Z","96","3980","4162"
"197.234.13.44","elite","AS36902","SC","Intelvision","183","Intelvision Ltd","4145","socks4","3602","1","2023-09-30T02:02:20.950Z","100","4085","4098"
"36.95.56.66","elite","AS7713","ID","PT. Telekomunikasi Indonesia","200","Telekomunikasi Indonesia","5678","socks4","5285","1","2023-09-30T02:02:20.948Z","99","3982","4038"
"14.207.82.196","elite","AS45629","TH","Triple T Broadband Public Company Limited","288","Triple T Broadband Public Company Limited","4153","socks4","4990","1","2023-09-30T02:02:20.943Z","98","3929","4008"
"79.141.160.83","elite","AS202015","US","HZ Hosting Ltd","94","HZ Na21","15160","socks4","2090","1","2023-09-30T02:02:17.548Z","41","1671","4074"
"178.250.70.218","elite","AS51580","IT","Timenet SPA","92","Time-net S.R.L","1088","socks4","4893","1","2023-09-30T02:02:17.632Z","97","4021","4144"
"5.135.178.153","elite","AS16276","FR","OVH SAS","5","OVH","26506","socks4","4301","1","2023-09-30T02:02:17.835Z","100","4092","4092"
"131.0.143.1","elite","AS61885","BR","Mgnetmoc Ltda","219","Mgnetmoc Ltda","4145","socks4","4999","1","2023-09-30T02:02:14.341Z","99","4062","4119"
"185.81.106.52","elite","AS197099","PL","Multinet 24 Sp. z o.o","27","Multinet24 Sp.zoo","3629","socks4","4798","78","2023-09-30T02:02:14.339Z","100","4123","4141"
"50.47.75.220","elite","AS20055","US","Wholesail networks LLC","199","Ziply Fiber","5678","socks4","4906","1","2023-09-30T02:02:13.883Z","98","3958","4048"
"182.107.180.34","elite","AS4134","CN","Chinanet","285","Chinanet JX","31239","socks4","1192","1","2023-09-30T02:02:13.882Z","30","1237","4061"
"185.157.109.5","elite","AS202652","EE","SkyLive Telecom ldt","80","Elevi","5678","socks4","3518","1","2023-09-30T02:02:13.883Z","100","4057","4077"
"103.87.201.135","elite","AS58369","ID","PT. Fiber Networks Indonesia","197","PT. GARANSINDO INTER GLOBAL","4145","socks4","4102","1","2023-09-30T02:02:12.593Z","98","4000","4100"
"185.171.54.29","elite","AS44285","IR","Shahrad","191","N/A","4153","socks4","3303","1","2023-09-30T02:02:12.597Z","95","3966","4172"
"46.148.45.119","elite","AS43395","IR","Pooya Parto Qeshm Cooperative Company","185","PartPayam Shahin Shahr ISP","5678","socks4","4900","1","2023-09-30T02:02:12.597Z","92","3697","4035"
"80.116.152.53","elite","AS3269","IT","Telecom Italia S.p.A. TIN EASY LITE","97","INTERBUSINESS","3744","socks4","5108","1","2023-09-30T02:02:10.935Z","90","3583","3983"
"41.203.252.118","elite","AS36902","SC","Intelvision","169","Intelvision Ltd","3128","socks5","5001","1","2023-09-30T02:02:10.850Z","99","4081","4115"
"5.188.4.100","elite","AS202422","BR","G-Core Labs S.A","197","GCL","80","socks5","3401","1","2023-09-30T02:02:10.933Z","49","2001","4046"
"142.93.113.81","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","7497","socks5","5093","1","2023-09-30T02:02:10.946Z","100","4069","4085"
"103.120.135.229","elite","AS38235","KH","Angkor Data Communication","286","N/A","33427","socks5","4702","1","2023-09-30T02:02:10.934Z","99","3970","4005"
"196.196.160.211","elite","AS57858","IT","Inter Connects Inc","96","Fiber Grid","80","socks4","4094","1","2023-09-30T02:02:10.845Z","97","4033","4138"
"24.7.10.171","elite","AS33651","US","Comcast Cable Communications, LLC","186","Comcast Cable Communications","2758","socks4","4608","1","2023-09-30T02:02:07.345Z","49","2024","4140"
"171.97.107.187","elite","AS17552","TH","True Internet Corporation CO. Ltd.","190","Truenet Hisp","4145","socks4","3801","1","2023-09-30T02:02:07.341Z","53","2129","4049"
"103.59.203.209","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","120","NET 4 U Services PVT LTD","4145","socks4","5095","2","2023-09-30T02:02:07.342Z","99","4104","4133"
"109.69.0.247","elite","AS21183","AL","Vodafone Network","40","ABCOM Shpk","8741","socks4","5692","1","2023-09-30T02:02:07.440Z","91","3801","4166"
"202.162.197.155","elite","AS23679","ID","Media Antar Nusa PT.","193","Nusanet","5678","socks4","793","1","2023-09-30T02:02:07.346Z","98","3938","4008"
"104.16.107.206","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5195","78","2023-09-30T02:02:03.450Z","100","4157","4159"
"185.207.205.134","elite","AS204196","NL","Abelohost BV","11","Abelohost","8001","socks4","5290","1","2023-09-30T02:02:03.545Z","100","4117","4124"
"167.114.195.82","elite","AS16276","CA","OVH SAS","84","OVH Hosting, Inc","3128","socks5","5005","1","2023-09-30T02:02:03.546Z","100","4117","4117"
"177.38.182.166","elite","AS52971","BR","Micks Telecom Eireli","278","Prefeitura Municipal de Guanambi","5678","socks4","5003","1","2023-09-30T02:02:03.448Z","99","4107","4135"
"45.77.210.72","elite","AS20473","US","The Constant Company","195","Vultr Holdings, LLC","11874","socks5","4808","1","2023-09-30T02:01:59.649Z","55","2224","4061"
